===== VARIABLES DEL MODELO =====
Proceso=CAL | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=943 | Tipo=IntVar | Nombre_ORtools=start_943 | Clave_diccionario=start_var | ID_ORTools=92
Proceso=CAL | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=943 | Tipo=IntVar | Nombre_ORtools=end_943 | Clave_diccionario=end_var | ID_ORTools=93
Proceso=ENS | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=944 | Tipo=IntVar | Nombre_ORtools=start_944 | Clave_diccionario=start_var | ID_ORTools=96
Proceso=ENS | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=944 | Tipo=IntVar | Nombre_ORtools=end_944 | Clave_diccionario=end_var | ID_ORTools=97
Proceso=TEL | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=945 | Tipo=IntVar | Nombre_ORtools=start_945 | Clave_diccionario=start_var | ID_ORTools=100
Proceso=TEL | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=945 | Tipo=IntVar | Nombre_ORtools=end_945 | Clave_diccionario=end_var | ID_ORTools=101
Proceso=PDI | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=946 | Tipo=IntVar | Nombre_ORtools=start_946 | Clave_diccionario=start_var | ID_ORTools=104
Proceso=PDI | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=946 | Tipo=IntVar | Nombre_ORtools=end_946 | Clave_diccionario=end_var | ID_ORTools=105
Proceso=LAV | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=947 | Tipo=IntVar | Nombre_ORtools=start_947 | Clave_diccionario=start_var | ID_ORTools=108
Proceso=LAV | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=947 | Tipo=IntVar | Nombre_ORtools=end_947 | Clave_diccionario=end_var | ID_ORTools=109
Proceso=PIN | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=948 | Tipo=IntVar | Nombre_ORtools=start_948 | Clave_diccionario=start_var | ID_ORTools=112
Proceso=PIN | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=948 | Tipo=IntVar | Nombre_ORtools=end_948 | Clave_diccionario=end_var | ID_ORTools=113
Proceso=CAL | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=949 | Tipo=IntVar | Nombre_ORtools=start_949 | Clave_diccionario=start_var | ID_ORTools=116
Proceso=CAL | Operario=N/A | Trabajo=KABZM1KMIAMF00YA | ID_tarea=949 | Tipo=IntVar | Nombre_ORtools=end_949 | Clave_diccionario=end_var | ID_ORTools=117
Proceso=ENS | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=950 | Tipo=IntVar | Nombre_ORtools=start_950 | Clave_diccionario=start_var | ID_ORTools=120
